Prediction,Groundtruth,station,lead_time,year,month,day
92.8505859375,39.900001525878906,5.0,7,2018,6,2
92.27780151367188,57.59999847412109,9.0,7,2018,6,2
93.10063934326172,31.899999618530277,11.0,7,2018,6,2
92.9754638671875,92.0,13.0,7,2018,6,2
91.68038177490234,55.400001525878906,25.0,7,2018,6,2
75.17545318603516,43.5,29.0,7,2018,6,2
79.1061019897461,79.5999984741211,30.0,7,2018,6,2
59.56331634521485,46.900001525878906,32.0,7,2018,6,2
57.84685516357422,66.9000015258789,37.0,7,2018,6,2
44.82207489013672,44.5,38.0,7,2018,6,2
70.48944091796875,25.299999237060547,39.0,7,2018,6,2
92.75379943847656,129.10000610351562,44.0,7,2018,6,2
92.92655181884766,43.09999847412109,5.0,8,2018,6,2
92.03067779541016,108.9000015258789,9.0,8,2018,6,2
93.03551483154295,61.70000076293945,11.0,8,2018,6,2
92.87234497070312,133.6999969482422,13.0,8,2018,6,2
92.27118682861328,58.5,25.0,8,2018,6,2
74.89286041259766,46.20000076293945,29.0,8,2018,6,2
84.38190460205078,77.30000305175781,30.0,8,2018,6,2
51.99896240234375,58.29999923706055,32.0,8,2018,6,2
81.6946029663086,44.5,37.0,8,2018,6,2
51.31476593017578,67.4000015258789,38.0,8,2018,6,2
72.24042510986328,30.100000381469727,39.0,8,2018,6,2
92.51519775390624,121.3000030517578,44.0,8,2018,6,2
93.15830993652344,49.29999923706055,5.0,9,2018,6,2
92.25594329833984,105.1999969482422,9.0,9,2018,6,2
93.17428588867188,74.0999984741211,11.0,9,2018,6,2
93.15691375732422,101.1999969482422,13.0,9,2018,6,2
92.67081451416016,55.09999847412109,25.0,9,2018,6,2
84.06137084960938,49.5,29.0,9,2018,6,2
85.25370788574219,53.09999847412109,30.0,9,2018,6,2
57.77182388305664,42.20000076293945,32.0,9,2018,6,2
84.8884506225586,47.59999847412109,37.0,9,2018,6,2
56.20262908935547,69.69999694824219,38.0,9,2018,6,2
82.0183334350586,29.799999237060547,39.0,9,2018,6,2
92.95484924316406,117.0,44.0,9,2018,6,2
93.1081314086914,43.5,5.0,10,2018,6,2
92.67422485351562,115.9000015258789,9.0,10,2018,6,2
93.07880401611328,87.9000015258789,11.0,10,2018,6,2
93.10395050048828,123.5,13.0,10,2018,6,2
92.61487579345705,45.20000076293945,25.0,10,2018,6,2
92.06859588623048,31.700000762939453,29.0,10,2018,6,2
80.05445861816406,47.900001525878906,30.0,10,2018,6,2
49.32280731201172,36.5,32.0,10,2018,6,2
76.91291046142578,48.09999847412109,37.0,10,2018,6,2
53.106475830078125,65.5999984741211,38.0,10,2018,6,2
83.22953033447266,29.799999237060547,39.0,10,2018,6,2
92.9505386352539,112.1999969482422,44.0,10,2018,6,2
93.22484588623048,43.79999923706055,5.0,11,2018,6,2
93.0246124267578,118.6999969482422,9.0,11,2018,6,2
93.1310806274414,102.3000030517578,11.0,11,2018,6,2
93.15478515625,131.1999969482422,13.0,11,2018,6,2
92.98983001708984,46.400001525878906,25.0,11,2018,6,2
92.90242767333984,32.900001525878906,29.0,11,2018,6,2
87.22364044189453,48.70000076293945,30.0,11,2018,6,2
55.64451599121094,37.400001525878906,32.0,11,2018,6,2
86.0298080444336,48.09999847412109,37.0,11,2018,6,2
68.61315155029297,65.5999984741211,38.0,11,2018,6,2
85.42566680908203,29.799999237060547,39.0,11,2018,6,2
93.22603607177734,112.1999969482422,44.0,11,2018,6,2
93.22261810302734,44.5,5.0,12,2018,6,2
92.8293228149414,139.0,9.0,12,2018,6,2
93.16607666015624,116.0,11.0,12,2018,6,2
93.17725372314452,142.0,13.0,12,2018,6,2
93.0543441772461,49.09999847412109,25.0,12,2018,6,2
92.68193817138672,32.900001525878906,29.0,12,2018,6,2
86.4094467163086,49.09999847412109,30.0,12,2018,6,2
85.63946533203125,37.70000076293945,32.0,12,2018,6,2
87.86353302001953,48.59999847412109,37.0,12,2018,6,2
68.51387786865234,42.29999923706055,38.0,12,2018,6,2
84.8406753540039,29.799999237060547,39.0,12,2018,6,2
93.19683074951172,112.1999969482422,44.0,12,2018,6,2
93.15149688720705,44.5,5.0,13,2018,6,2
92.58635711669922,158.6999969482422,9.0,13,2018,6,2
93.0266342163086,115.6999969482422,11.0,13,2018,6,2
93.14486694335938,158.89999389648438,13.0,13,2018,6,2
93.10062408447266,49.29999923706055,25.0,13,2018,6,2
92.64653778076172,31.100000381469727,29.0,13,2018,6,2
75.34891510009766,75.9000015258789,30.0,13,2018,6,2
80.44750213623047,37.70000076293945,32.0,13,2018,6,2
77.8816909790039,45.59999847412109,37.0,13,2018,6,2
62.52294158935547,43.5,38.0,13,2018,6,2
87.1841049194336,19.5,39.0,13,2018,6,2
93.06661987304688,112.5,44.0,13,2018,6,2
93.16092681884766,40.70000076293945,5.0,14,2018,6,2
92.59309387207033,141.3000030517578,9.0,14,2018,6,2
92.42814636230467,122.1999969482422,11.0,14,2018,6,2
93.1414566040039,178.1999969482422,13.0,14,2018,6,2
93.18035888671876,81.0999984741211,25.0,14,2018,6,2
92.78893280029295,20.100000381469727,29.0,14,2018,6,2
77.44761657714844,70.9000015258789,30.0,14,2018,6,2
77.96663665771484,40.09999847412109,32.0,14,2018,6,2
82.00621795654297,28.399999618530277,37.0,14,2018,6,2
56.554805755615234,33.0,38.0,14,2018,6,2
82.34760284423828,44.09999847412109,39.0,14,2018,6,2
92.81861114501952,22.399999618530277,44.0,14,2018,6,2
93.1938247680664,42.900001525878906,5.0,15,2018,6,2
92.98478698730467,99.6999969482422,9.0,15,2018,6,2
93.03628540039062,91.0999984741211,11.0,15,2018,6,2
93.15431213378906,150.3000030517578,13.0,15,2018,6,2
93.05060577392578,90.0,25.0,15,2018,6,2
93.17871856689452,67.69999694824219,29.0,15,2018,6,2
79.44612884521484,96.8000030517578,30.0,15,2018,6,2
74.09635925292969,34.0,32.0,15,2018,6,2
84.6019515991211,37.400001525878906,37.0,15,2018,6,2
60.98213577270508,25.799999237060547,38.0,15,2018,6,2
87.19461822509766,42.59999847412109,39.0,15,2018,6,2
92.5948257446289,27.600000381469727,44.0,15,2018,6,2
93.20162963867188,39.09999847412109,5.0,16,2018,6,2
92.92522430419922,94.4000015258789,9.0,16,2018,6,2
93.16928100585938,80.19999694824219,11.0,16,2018,6,2
93.09290313720705,144.8000030517578,13.0,16,2018,6,2
92.88983917236328,88.4000015258789,25.0,16,2018,6,2
93.2007827758789,83.0,29.0,16,2018,6,2
78.0714111328125,90.9000015258789,30.0,16,2018,6,2
81.55865478515625,46.09999847412109,32.0,16,2018,6,2
82.9691162109375,73.5999984741211,37.0,16,2018,6,2
55.660255432128906,26.899999618530277,38.0,16,2018,6,2
84.7026138305664,44.400001525878906,39.0,16,2018,6,2
92.60562133789062,27.700000762939453,44.0,16,2018,6,2
92.4912338256836,79.9000015258789,5.0,17,2018,6,2
91.5855484008789,108.9000015258789,9.0,17,2018,6,2
93.16007232666016,65.4000015258789,11.0,17,2018,6,2
93.19468688964844,136.39999389648438,13.0,17,2018,6,2
92.30429077148438,108.5999984741211,25.0,17,2018,6,2
93.10276794433594,97.3000030517578,29.0,17,2018,6,2
62.63476943969727,96.6999969482422,30.0,17,2018,6,2
68.44225311279297,73.80000305175781,32.0,17,2018,6,2
67.36823272705078,73.4000015258789,37.0,17,2018,6,2
52.54313659667969,31.200000762939453,38.0,17,2018,6,2
61.45710754394531,48.400001525878906,39.0,17,2018,6,2
92.8206558227539,27.700000762939453,44.0,17,2018,6,2
89.76416778564453,80.4000015258789,5.0,18,2018,6,2
89.68680572509766,106.0999984741211,9.0,18,2018,6,2
93.1060562133789,62.20000076293945,11.0,18,2018,6,2
93.11746978759766,129.0,13.0,18,2018,6,2
91.83837127685548,117.4000015258789,25.0,18,2018,6,2
93.1395492553711,96.5999984741211,29.0,18,2018,6,2
66.27349090576172,97.3000030517578,30.0,18,2018,6,2
77.68516540527344,72.9000015258789,32.0,18,2018,6,2
64.41764068603516,73.4000015258789,37.0,18,2018,6,2
57.50617218017578,33.599998474121094,38.0,18,2018,6,2
63.451202392578125,48.400001525878906,39.0,18,2018,6,2
92.32984924316406,27.700000762939453,44.0,18,2018,6,2
90.43276977539062,81.9000015258789,5.0,19,2018,6,2
90.52796173095705,99.5999984741211,9.0,19,2018,6,2
93.13542175292967,55.5,11.0,19,2018,6,2
93.04459381103516,125.3000030517578,13.0,19,2018,6,2
92.3744888305664,115.5,25.0,19,2018,6,2
93.14541625976562,103.4000015258789,29.0,19,2018,6,2
66.4065170288086,96.9000015258789,30.0,19,2018,6,2
64.18558502197266,72.5999984741211,32.0,19,2018,6,2
