Prediction,Groundtruth,station,lead_time,year,month,day
74.8193130493164,39.900001525878906,5.0,20,2009,8,1
77.37908935546875,57.59999847412109,9.0,20,2009,8,1
124.12862396240234,31.899999618530277,11.0,20,2009,8,1
73.4665298461914,92.0,13.0,20,2009,8,1
83.21459197998047,55.400001525878906,25.0,20,2009,8,1
73.22110748291016,43.5,29.0,20,2009,8,1
61.12199020385742,79.5999984741211,30.0,20,2009,8,1
59.46442794799805,46.900001525878906,32.0,20,2009,8,1
53.23907470703125,66.9000015258789,37.0,20,2009,8,1
51.81021881103516,44.5,38.0,20,2009,8,1
48.21357727050781,25.299999237060547,39.0,20,2009,8,1
80.88280487060547,129.10000610351562,44.0,20,2009,8,1
74.47999572753906,43.09999847412109,5.0,14,2015,9,5
78.85448455810547,108.9000015258789,9.0,14,2015,9,5
126.5145263671875,61.70000076293945,11.0,14,2015,9,5
75.16500091552734,133.6999969482422,13.0,14,2015,9,5
77.99657440185547,58.5,25.0,14,2015,9,5
74.43690490722656,46.20000076293945,29.0,14,2015,9,5
58.887351989746094,77.30000305175781,30.0,14,2015,9,5
59.94041442871094,58.29999923706055,32.0,14,2015,9,5
44.30068206787109,44.5,37.0,14,2015,9,5
45.14210510253906,67.4000015258789,38.0,14,2015,9,5
47.25050735473633,30.100000381469727,39.0,14,2015,9,5
81.21680450439453,121.3000030517578,44.0,14,2015,9,5
73.77106475830078,49.29999923706055,5.0,39,2007,7,14
82.5631332397461,105.1999969482422,9.0,39,2007,7,14
127.95565795898438,74.0999984741211,11.0,39,2007,7,14
76.75872802734375,101.1999969482422,13.0,39,2007,7,14
78.21565246582031,55.09999847412109,25.0,39,2007,7,14
74.57044982910156,49.5,29.0,39,2007,7,14
57.02483749389648,53.09999847412109,30.0,39,2007,7,14
54.34261322021485,42.20000076293945,32.0,39,2007,7,14
49.15620422363281,47.59999847412109,37.0,39,2007,7,14
43.2324104309082,69.69999694824219,38.0,39,2007,7,14
44.11137390136719,29.799999237060547,39.0,39,2007,7,14
80.23128509521484,117.0,44.0,39,2007,7,14
74.16259765625,43.5,5.0,30,2010,9,5
78.62574005126953,115.9000015258789,9.0,30,2010,9,5
125.26190185546876,87.9000015258789,11.0,30,2010,9,5
75.91248321533203,123.5,13.0,30,2010,9,5
77.59257507324219,45.20000076293945,25.0,30,2010,9,5
74.0935287475586,31.700000762939453,29.0,30,2010,9,5
55.32095718383789,47.900001525878906,30.0,30,2010,9,5
56.621826171875,36.5,32.0,30,2010,9,5
47.65309524536133,48.09999847412109,37.0,30,2010,9,5
43.82715225219727,65.5999984741211,38.0,30,2010,9,5
45.8530387878418,29.799999237060547,39.0,30,2010,9,5
77.66130828857422,112.1999969482422,44.0,30,2010,9,5
71.99864959716797,43.79999923706055,5.0,40,2010,6,9
85.21500396728516,118.6999969482422,9.0,40,2010,6,9
139.57568359375,102.3000030517578,11.0,40,2010,6,9
82.04529571533203,131.1999969482422,13.0,40,2010,6,9
81.71344757080078,46.400001525878906,25.0,40,2010,6,9
76.01331329345703,32.900001525878906,29.0,40,2010,6,9
62.95586013793945,48.70000076293945,30.0,40,2010,6,9
59.06543731689453,37.400001525878906,32.0,40,2010,6,9
56.29400634765625,48.09999847412109,37.0,40,2010,6,9
49.6078987121582,65.5999984741211,38.0,40,2010,6,9
48.7891845703125,29.799999237060547,39.0,40,2010,6,9
71.73714447021484,112.1999969482422,44.0,40,2010,6,9
70.37035369873047,44.5,5.0,39,2014,6,9
86.98638153076172,139.0,9.0,39,2014,6,9
139.51620483398438,116.0,11.0,39,2014,6,9
77.0024642944336,142.0,13.0,39,2014,6,9
82.73326873779297,49.09999847412109,25.0,39,2014,6,9
76.09886932373047,32.900001525878906,29.0,39,2014,6,9
64.45110321044922,49.09999847412109,30.0,39,2014,6,9
61.44374847412109,37.70000076293945,32.0,39,2014,6,9
61.056617736816406,48.59999847412109,37.0,39,2014,6,9
50.253055572509766,42.29999923706055,38.0,39,2014,6,9
52.63839340209961,29.799999237060547,39.0,39,2014,6,9
62.5998420715332,112.1999969482422,44.0,39,2014,6,9
69.25702667236328,44.5,5.0,21,2008,6,9
97.81784057617188,158.6999969482422,9.0,21,2008,6,9
145.68939208984375,115.6999969482422,11.0,21,2008,6,9
80.8350601196289,158.89999389648438,13.0,21,2008,6,9
87.39210510253906,49.29999923706055,25.0,21,2008,6,9
77.46553802490234,31.100000381469727,29.0,21,2008,6,9
64.91131591796875,75.9000015258789,30.0,21,2008,6,9
61.21607971191406,37.70000076293945,32.0,21,2008,6,9
62.978885650634766,45.59999847412109,37.0,21,2008,6,9
52.16007614135742,43.5,38.0,21,2008,6,9
53.6098518371582,19.5,39.0,21,2008,6,9
66.93936920166016,112.5,44.0,21,2008,6,9
67.30780792236328,40.70000076293945,5.0,27,2014,6,16
110.74762725830078,141.3000030517578,9.0,27,2014,6,16
147.46945190429688,122.1999969482422,11.0,27,2014,6,16
81.47303009033203,178.1999969482422,13.0,27,2014,6,16
89.04230499267578,81.0999984741211,25.0,27,2014,6,16
77.80418395996094,20.100000381469727,29.0,27,2014,6,16
65.30726623535156,70.9000015258789,30.0,27,2014,6,16
61.274173736572266,40.09999847412109,32.0,27,2014,6,16
63.25092315673828,28.399999618530277,37.0,27,2014,6,16
54.210262298583984,33.0,38.0,27,2014,6,16
52.52825546264648,44.09999847412109,39.0,27,2014,6,16
65.14923095703125,22.399999618530277,44.0,27,2014,6,16
67.04215240478516,42.900001525878906,5.0,34,2003,6,16
123.12654113769533,99.6999969482422,9.0,34,2003,6,16
148.54197692871094,91.0999984741211,11.0,34,2003,6,16
82.11446380615234,150.3000030517578,13.0,34,2003,6,16
85.2863540649414,90.0,25.0,34,2003,6,16
76.23165130615234,67.69999694824219,29.0,34,2003,6,16
64.97781372070312,96.8000030517578,30.0,34,2003,6,16
60.876861572265625,34.0,32.0,34,2003,6,16
63.196807861328125,37.400001525878906,37.0,34,2003,6,16
52.40797805786133,25.799999237060547,38.0,34,2003,6,16
54.25767517089844,42.59999847412109,39.0,34,2003,6,16
65.49433135986328,27.600000381469727,44.0,34,2003,6,16
66.34609985351562,39.09999847412109,5.0,15,2006,6,13
