Prediction,Groundtruth,station,lead_time,year,month,day
93.10813903808594,43.5,5.0,7,2018,6,2
92.67422485351562,115.9000015258789,9.0,7,2018,6,2
93.0788116455078,87.9000015258789,11.0,7,2018,6,2
93.10394287109376,123.5,13.0,7,2018,6,2
92.61489868164062,45.20000076293945,25.0,7,2018,6,2
92.06853485107422,31.700000762939453,29.0,7,2018,6,2
80.0550308227539,47.900001525878906,30.0,7,2018,6,2
49.32280731201172,36.5,32.0,7,2018,6,2
76.9128189086914,48.09999847412109,37.0,7,2018,6,2
53.106475830078125,65.5999984741211,38.0,7,2018,6,2
83.22956848144531,29.799999237060547,39.0,7,2018,6,2
92.95055389404295,112.1999969482422,44.0,7,2018,6,2
92.48836517333984,0.0,5.0,8,2018,6,2
93.04073333740234,196.1000061035156,9.0,8,2018,6,2
93.18749237060548,101.0,11.0,8,2018,6,2
93.1139144897461,188.1000061035156,13.0,8,2018,6,2
91.81269073486328,0.4000000059604645,25.0,8,2018,6,2
93.10202026367188,16.799999237060547,29.0,8,2018,6,2
59.573055267333984,0.0,30.0,8,2018,6,2
73.34687042236328,0.0,32.0,8,2018,6,2
63.14617919921875,0.0,37.0,8,2018,6,2
56.49742889404297,0.0,38.0,8,2018,6,2
59.10999298095703,0.0,39.0,8,2018,6,2
92.58554077148438,1.2000000476837158,44.0,8,2018,6,2
93.1445541381836,16.899999618530273,5.0,9,2018,6,2
93.1874008178711,81.0,9.0,9,2018,6,2
93.15348052978516,96.8000030517578,11.0,9,2018,6,2
92.965576171875,155.39999389648438,13.0,9,2018,6,2
93.06964874267578,36.29999923706055,25.0,9,2018,6,2
93.06635284423828,1.2000000476837158,29.0,9,2018,6,2
67.96483612060547,0.1000000014901161,30.0,9,2018,6,2
24.266212463378903,8.199999809265137,32.0,9,2018,6,2
35.06509017944336,2.5999999046325684,37.0,9,2018,6,2
47.47411346435547,0.0,38.0,9,2018,6,2
34.492576599121094,10.399999618530272,39.0,9,2018,6,2
92.5354232788086,4.800000190734863,44.0,9,2018,6,2
93.23081970214844,32.599998474121094,5.0,10,2018,6,2
93.07050323486328,19.899999618530277,9.0,10,2018,6,2
86.98400115966797,115.0,11.0,10,2018,6,2
93.22089385986328,61.70000076293945,13.0,10,2018,6,2
92.42366790771484,62.5,25.0,10,2018,6,2
93.15201568603516,118.1999969482422,29.0,10,2018,6,2
62.708740234375,18.0,30.0,10,2018,6,2
75.27301025390625,50.400001525878906,32.0,10,2018,6,2
87.37627410888672,45.5,37.0,10,2018,6,2
65.0981216430664,66.0,38.0,10,2018,6,2
84.39630889892578,60.5,39.0,10,2018,6,2
92.17034149169922,69.4000015258789,44.0,10,2018,6,2
92.95905303955078,40.70000076293945,5.0,11,2018,6,2
93.0522689819336,141.3000030517578,9.0,11,2018,6,2
93.0591812133789,122.1999969482422,11.0,11,2018,6,2
93.07238006591795,178.1999969482422,13.0,11,2018,6,2
92.95762634277344,81.0999984741211,25.0,11,2018,6,2
92.7103500366211,20.100000381469727,29.0,11,2018,6,2
87.7313232421875,70.9000015258789,30.0,11,2018,6,2
