Prediction,Groundtruth,station,lead_time,year,month,day
54.72190475463867,39.900001525878906,5.0,7,2018,6,2
48.13631057739258,57.59999847412109,9.0,7,2018,6,2
33.88004684448242,31.899999618530277,11.0,7,2018,6,2
55.9795036315918,92.0,13.0,7,2018,6,2
47.1910514831543,55.400001525878906,25.0,7,2018,6,2
16.886104583740234,43.5,29.0,7,2018,6,2
25.264822006225582,79.5999984741211,30.0,7,2018,6,2
34.223384857177734,46.900001525878906,32.0,7,2018,6,2
19.404396057128903,66.9000015258789,37.0,7,2018,6,2
16.3857421875,44.5,38.0,7,2018,6,2
39.06028366088867,25.299999237060547,39.0,7,2018,6,2
50.7131462097168,129.10000610351562,44.0,7,2018,6,2
52.44979095458984,43.09999847412109,5.0,8,2018,6,2
28.07869529724121,108.9000015258789,9.0,8,2018,6,2
24.40240478515625,61.70000076293945,11.0,8,2018,6,2
55.36933517456055,133.6999969482422,13.0,8,2018,6,2
44.554649353027344,58.5,25.0,8,2018,6,2
10.45042896270752,46.20000076293945,29.0,8,2018,6,2
24.032814025878903,77.30000305175781,30.0,8,2018,6,2
18.17444610595703,58.29999923706055,32.0,8,2018,6,2
14.605311393737791,44.5,37.0,8,2018,6,2
10.967083930969238,67.4000015258789,38.0,8,2018,6,2
27.90565490722656,30.100000381469727,39.0,8,2018,6,2
35.669036865234375,121.3000030517578,44.0,8,2018,6,2
48.23448944091797,49.29999923706055,5.0,9,2018,6,2
20.26673889160156,105.1999969482422,9.0,9,2018,6,2
20.92996597290039,74.0999984741211,11.0,9,2018,6,2
53.06056213378906,101.1999969482422,13.0,9,2018,6,2
46.43476867675781,55.09999847412109,25.0,9,2018,6,2
21.56749153137207,49.5,29.0,9,2018,6,2
25.963224411010746,53.09999847412109,30.0,9,2018,6,2
35.14939498901367,42.20000076293945,32.0,9,2018,6,2
22.28119468688965,47.59999847412109,37.0,9,2018,6,2
19.223960876464844,69.69999694824219,38.0,9,2018,6,2
43.711185455322266,29.799999237060547,39.0,9,2018,6,2
54.53364181518555,117.0,44.0,9,2018,6,2
56.62667465209961,43.5,5.0,10,2018,6,2
56.90970230102539,115.9000015258789,9.0,10,2018,6,2
53.51921463012695,87.9000015258789,11.0,10,2018,6,2
59.76668930053711,123.5,13.0,10,2018,6,2
69.98780822753906,45.20000076293945,25.0,10,2018,6,2
50.05754852294922,31.700000762939453,29.0,10,2018,6,2
42.24162673950195,47.900001525878906,30.0,10,2018,6,2
50.60078048706055,36.5,32.0,10,2018,6,2
34.87758255004883,48.09999847412109,37.0,10,2018,6,2
30.639074325561523,65.5999984741211,38.0,10,2018,6,2
52.57670974731445,29.799999237060547,39.0,10,2018,6,2
69.01994323730469,112.1999969482422,44.0,10,2018,6,2
55.82432174682617,43.79999923706055,5.0,11,2018,6,2
